Дата,URL,Коррупция,Взятка,Подкуп,Злоупотребление полномочиями,Непотизм,Бездействие,Конфликт интересов,Теневая экономика,Финансовые махинации,Противодействие коррупции,Транспарентность,Подотчетность,Мониторинг,Антикоррупционная политика,приговор,дело,Прозрачность финансирования,Теневые сделки,Откаты,Хищение,Родственник,расследуется,расследование,Лоббизм,Незаконное,обогащение,Контроль расходов,Проверки деятельности,подозреваемый,подоздревается,Аудит,Закупка,Электронное правительство,Похищение,Отмывание,Задержание,Рейдерство,тенге,долларов,доллары,Превышение власти,Задержали,Антикор,Агенство,Уголовный кодекс,Получение,незаконного,вознагражденияКонцепция,Преступление,средней тяжести,небольшой тяжести,Тяжкие,Особо тяжкие,Мошенничество,Легализация,миллиард,миллион,триллиард,Обогатился,Обогатились,судебный,процесс,аким,начальник,зам,заместитель,район,город,область,село,деревня,Аул,правонарушение,Антикора,Антикору,Антикором,Антикоре
08 ноября 2023,https://tengrinews.kz/kazakhstan_news/skolko-stoyat-voditelskie-prava-tenevom-ryinke-rasskazal-516226/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15 июля 2024,https://tengrinews.kz/kazakhstan_news/korruptsiya-opg-antikore-rassledovali-dela-otnoshenii-541356/,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,1,4,0,0,0
21 июля 2020,https://tengrinews.kz/kazakhstan_news/chinovniki-v-takoe-vremya-obogaschayutsya-zakupkah-lekarstv-408960/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 августа 2024,https://tengrinews.kz/kazakhstan_news/byivshemu-glavnomu-arhitektoru-almatyi-otkazali-domashnem-544832/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22 января 2024,https://tengrinews.kz/kazakhstan_news/nachalos-glavnoe-sudebnoe-razbiratelstvo-delu-ablaya-523847/,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 октября 2020,https://tengrinews.kz/kazakhstan_news/hischenii-700-millionov-podozrevayut-glavu-rayonnogo-otdela-418604/,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
09 января 2018,https://tengrinews.kz/crime/predsedatel-smus-poprosil-davit-sud-eks-glavu-enpf-erdenaeva-334988/,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
03 декабря 2019,https://tengrinews.kz/world_news/navalnyiy-obnarujil-televeduschey-asker-zade-yahtu-samolet-385617/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 мая 2022,https://tengrinews.kz/kazakhstan_news/v-poluchenii-vzyatki-podozrevaetsya-glava-gorsuda-taraza-469375/,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18 августа 2021,https://tengrinews.kz/kazakhstan_news/subsidii-podderjku-jivotnovodstva-perevodili-salonam-446156/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
